Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,20:00:00,46,1,3.17%,298.0204731823804,192,6,3.17%,335.1604769104722,444,3,0.78%,336.4820191083348,209,2,0.88%,315.2975686460989
August,1,20:30:00,39,2,5.77%,289.5750400066053,166,10,5.77%,327.59375761168906,383,1,0.39%,331.0008938203239,182,1,0.43%,308.5585809917602
August,1,21:00:00,30,2,6.47%,292.07209114860194,137,9,6.47%,327.127755979596,321,1,0.16%,329.90991692301304,149,2,1.31%,314.8183194522271
August,1,21:30:00,22,1,3.58%,298.47405758254496,115,4,3.58%,328.2791710974548,266,0,0.16%,327.6052316691515,129,1,0.51%,317.06606848953
August,1,22:00:00,18,0,1.49%,300.93480234794134,92,1,1.49%,321.66847987709104,220,1,0.27%,323.4385647649351,105,0,0.43%,317.2195338481189
August,1,22:30:00,13,3,25.8%,293.1184636642402,73,19,25.8%,314.3005513655431,174,0,0.19%,315.7378097950576,87,0,0.29%,313.2605189518132
August,1,23:00:00,11,2,14.06%,311.0920408934007,54,8,14.06%,305.4618966345781,135,0,0.12%,312.64353379543775,68,0,0.16%,313.67050249906043
August,1,23:30:00,8,0,5.57%,277.7263168661211,42,2,5.57%,305.6892565679166,106,0,0.16%,310.6497753847684,54,0,0.27%,308.3463273747044
August,2,00:00:00,6,0,1.33%,381.7065217335352,38,1,1.33%,319.1670928878533,82,1,0.88%,323.5295783104026,50,0,0.97%,305.868346942062
August,2,00:30:00,5,0,1.76%,326.14375704987316,27,0,1.76%,306.34133055814084,61,0,0.51%,318.99484407656894,36,0,0.36%,317.7364123764203
August,2,01:00:00,4,0,1.73%,359.11053731554415,12,0,1.73%,363.79010674121787,45,1,1.31%,315.0409769596564,27,0,0.65%,332.5409487384618
August,2,01:30:00,3,0,2.08%,312.7002747896633,7,0,2.08%,329.5348654238876,33,0,1.51%,316.691729241816,21,0,1.44%,324.6009344732902
August,2,02:00:00,3,0,0.66%,360.8081238654269,5,0,0.66%,341.84057250941015,23,1,3.67%,293.54692748154514,15,1,3.72%,326.26313648127797
August,2,02:30:00,2,0,0.31%,320.01061163966756,4,0,0.31%,374.5499052371539,20,1,3.19%,311.55452012891294,11,0,2.11%,328.02281707898976
August,2,03:00:00,2,0,0.27%,333.0360389000152,4,0,0.27%,384.4140665737518,15,1,4.47%,319.7712710656445,4,0,5.35%,382.4682598854626
August,2,03:30:00,2,0,0.0%,373.5592773950149,4,0,0.0%,326.602003610978,14,0,0.48%,331.8044494893537,3,0,3.71%,277.88621981743927
August,2,04:00:00,2,0,0.0%,263.8049441603774,3,0,0.0%,309.02185341729654,12,0,1.61%,334.4233568101924,3,0,2.91%,426.97960262277087
August,2,04:30:00,2,0,0.0%,244.22557350486235,3,0,0.0%,289.52228385721156,13,0,1.56%,323.2614791192767,3,0,6.28%,346.1354054757708
August,2,05:00:00,2,0,0.0%,262.55153681965606,3,0,0.0%,355.7067214292636,15,0,1.13%,330.72782624235816,3,0,3.13%,286.31633225159044
August,2,05:30:00,3,0,0.6%,307.0463514087499,4,0,0.6%,331.0058169036807,19,0,1.91%,297.72233910344596,3,0,0.36%,314.9082019283146
August,2,06:00:00,3,0,2.13%,263.8876982554409,5,0,2.13%,321.3207699832305,31,0,0.53%,267.419754914258,13,0,1.79%,235.5417339469394
August,2,06:30:00,5,1,13.72%,270.19815251985733,8,1,13.72%,376.22799677396887,53,1,2.38%,259.886451409818,24,1,5.9%,258.37785962027385
August,2,07:00:00,10,1,5.64%,266.481096343823,24,1,5.64%,277.11407791027966,94,1,0.69%,262.00304650952023,43,0,1.04%,258.70041436911555
August,2,07:30:00,18,1,4.74%,315.89180398394274,39,2,4.74%,298.317642905615,151,2,1.48%,260.19858201956987,72,1,1.29%,267.0270400764099
August,2,08:00:00,51,0,0.89%,259.5789608097449,76,1,0.89%,290.72557952930714,277,2,0.58%,281.58169523389637,129,1,0.73%,271.0106304700965
August,2,08:30:00,88,1,1.07%,292.08748128098415,115,1,1.07%,312.56552352132167,405,3,0.75%,300.37479695740734,189,3,1.38%,282.8410965962839
August,2,09:00:00,130,1,0.54%,294.5449862733287,185,1,0.54%,311.29402184479784,571,3,0.51%,308.8303034240786,278,3,0.98%,285.346966297265
August,2,09:30:00,166,1,0.52%,306.22450814836196,236,1,0.52%,327.30662873423273,723,10,1.37%,318.32865889127953,341,6,1.87%,291.01997216934603
August,2,10:00:00,194,1,0.35%,306.6894135976122,289,1,0.35%,329.12453213364967,853,8,0.95%,324.3252278655431,405,7,1.79%,299.67769108301724
August,2,10:30:00,226,1,0.34%,306.4619897447403,324,1,0.34%,342.6957405868607,945,16,1.68%,334.7742568879717,450,17,3.86%,308.8095004224059
August,2,11:00:00,240,1,0.26%,312.39008876725535,359,1,0.26%,345.3454400081059,1012,10,0.94%,341.1020957348516,490,9,1.79%,312.3013814188761
August,2,11:30:00,249,1,0.42%,316.5656855820494,393,2,0.42%,347.9491592890961,1056,15,1.38%,344.8009749444943,514,8,1.52%,314.01462224299524
August,2,12:00:00,257,2,0.62%,315.0297139384678,426,3,0.62%,348.92565242320876,1069,14,1.28%,344.7178990788344,534,7,1.35%,313.7607975395644
August,2,12:30:00,262,2,0.83%,314.15307282292724,436,4,0.83%,354.4485932591458,1074,22,2.01%,346.8639757853071,541,11,2.01%,313.9965540885438
August,2,13:00:00,262,2,0.66%,318.0889268303722,452,3,0.66%,348.5659401962879,1062,11,1.01%,350.4350368972978,534,10,1.96%,316.6168574478942
August,2,13:30:00,262,1,0.38%,319.4940185132456,461,2,0.38%,348.6622608213307,1053,18,1.75%,350.0419731897013,536,12,2.23%,317.8775095062068
August,2,14:00:00,267,1,0.34%,320.68971890282955,484,2,0.34%,351.4046123576028,1064,13,1.24%,351.78736103364196,558,10,1.72%,317.13880071326906
August,2,14:30:00,272,2,0.71%,321.8052565361176,487,3,0.71%,356.2285635659964,1068,18,1.71%,351.4890430118418,560,16,2.92%,320.90789189598615
August,2,15:00:00,268,2,0.6%,319.177892611556,485,3,0.6%,353.45213638193695,1047,8,0.77%,352.49882285332376,554,9,1.64%,320.61240972642776
August,2,15:30:00,270,2,0.88%,319.48230909690454,483,4,0.88%,352.1995578516871,1036,13,1.21%,354.5086235776006,549,13,2.43%,318.7746757470389
August,2,16:00:00,267,1,0.38%,327.8682298706238,482,2,0.38%,356.44421748228575,1023,7,0.72%,352.4236053665221,554,7,1.23%,322.43381329373494
August,2,16:30:00,256,0,0.17%,319.18989900026463,464,1,0.17%,355.98955592643307,983,5,0.53%,352.9057883664929,531,6,1.12%,321.95253720728
August,2,17:00:00,227,1,0.64%,319.40449821380815,440,3,0.64%,356.1830284233518,925,9,0.97%,351.9477842064029,502,6,1.27%,323.75576318425215
August,2,17:30:00,199,1,0.58%,316.30491556422623,417,2,0.58%,357.1180386483001,862,8,0.96%,348.50640880844975,468,7,1.48%,319.6219059118867
August,2,18:00:00,174,1,0.35%,314.08136177823474,386,1,0.35%,354.5825886224868,790,9,1.12%,349.4791977595213,430,3,0.76%,319.5051852259385
August,2,18:30:00,149,1,0.46%,321.3245599619853,347,2,0.46%,349.78256006896163,704,7,0.96%,349.77570991696234,380,3,0.67%,320.17597915964035
August,2,19:00:00,100,0,0.27%,323.50609528437667,312,1,0.27%,346.56657775098046,628,7,1.04%,346.88551221493475,350,4,1.24%,312.6101118303385
August,2,19:30:00,78,0,0.56%,309.25110098679795,284,2,0.56%,341.6300499877301,559,10,1.73%,345.3751280587833,318,6,2.02%,323.64214632569383
August,2,20:00:00,61,1,1.11%,308.13729584933213,247,3,1.11%,343.2521135449492,487,9,1.92%,344.79912762490744,279,7,2.62%,314.7363827270449
August,2,20:30:00,52,1,2.05%,299.29012671286046,213,4,2.05%,334.71189204720196,421,4,0.96%,339.0470490788135,244,3,1.3%,307.41672473894494
August,2,21:00:00,39,1,2.31%,300.9837059334638,176,4,2.31%,333.27238821614475,352,1,0.39%,337.5767376201864,199,8,3.86%,312.8054576987699
August,2,21:30:00,30,0,1.25%,307.18480438705853,148,2,1.25%,333.6936766847805,292,1,0.4%,335.0010991082419,172,3,1.52%,314.5451201940316
August,2,22:00:00,24,0,0.51%,309.2438131917583,119,1,0.51%,326.35285881519366,242,2,0.67%,330.61766959755903,141,2,1.28%,314.1904990105794
August,2,22:30:00,17,2,10.62%,301.02573854736056,94,10,10.62%,318.25480365442263,191,1,0.46%,322.6459613695985,117,1,0.87%,309.79598136395276
August,2,23:00:00,14,1,5.29%,318.7984477961727,70,4,5.29%,308.8077100491051,148,0,0.28%,319.3349227635122,91,0,0.49%,309.69787836915884
August,2,23:30:00,10,0,1.98%,285.2318557885448,54,1,1.98%,308.5483188829615,116,0,0.4%,317.1785923979931,72,1,0.81%,304.010784286202
August,3,00:00:00,5,0,1.51%,376.8150482343473,33,0,1.51%,320.6568264461438,72,0,0.48%,327.2939081704615,43,0,0.41%,309.32045767424194
August,3,00:30:00,4,0,2.0%,321.25228355068526,24,0,2.0%,308.07443966617234,54,0,0.27%,322.9217458914777,31,0,0.15%,321.3336906920406
August,3,01:00:00,3,0,1.96%,354.21906381635625,11,0,1.96%,365.7665913989904,39,0,0.71%,319.02206942618176,24,0,0.27%,336.2833946375224
August,3,01:30:00,3,0,2.36%,308.0096692708237,6,0,2.36%,331.51135008166017,29,0,0.82%,320.7812030115746,18,0,0.61%,328.34338037235085
August,3,02:00:00,2,0,0.74%,355.91665036623897,5,0,0.74%,343.9387449420532,20,0,2.01%,297.6905919029203,13,0,1.59%,330.07816617205873
August,3,02:30:00,2,0,0.35%,315.32000612082794,4,0,0.35%,376.6480776697969,18,0,1.75%,315.7523752019048,10,0,0.89%,331.91043056149067
August,3,03:00:00,2,0,0.3%,328.3454333811756,3,0,0.3%,386.39055123152434,13,0,2.46%,323.9691261386363,3,0,2.31%,386.3558733679635
August,3,03:30:00,2,0,0.0%,368.86867187617526,3,0,0.0%,328.5784882687505,12,0,0.26%,336.00230456234556,3,0,1.58%,281.8464170916603
August,3,04:00:00,2,0,0.0%,259.11433864153776,2,0,0.0%,310.99833807506906,11,0,0.88%,338.67540253480075,2,0,1.23%,430.8672161052717
August,3,04:30:00,2,0,0.0%,239.53496798602276,3,0,0.0%,291.6204562898546,11,0,0.84%,327.45933419226856,3,0,2.72%,350.09560274999194
August,3,05:00:00,2,0,0.0%,257.86093130081645,2,0,0.0%,357.6832060870361,13,0,0.61%,334.92568131534995,3,0,1.33%,290.2765295258115
August,3,05:30:00,2,0,0.68%,302.154877909562,3,0,0.68%,332.9823015614532,17,0,1.04%,301.92019417643775,3,0,0.15%,318.86839920253567
August,3,06:00:00,3,0,2.42%,259.1970927366013,4,0,2.42%,323.297254641003,27,0,0.29%,271.50922868401665,12,0,0.75%,239.4293474294403
August,3,06:30:00,4,1,15.3%,265.3066790206694,7,1,15.3%,378.2044814317414,46,1,1.3%,263.8133532247267,21,1,2.55%,262.1203055193344
August,3,07:00:00,8,1,6.36%,261.3887548642868,21,1,6.36%,278.84718701831116,82,0,0.37%,265.65899506634594,37,0,0.44%,262.22510889301566
August,3,07:30:00,15,1,5.35%,310.5985945240582,34,2,5.35%,299.8073764639055,133,1,0.8%,263.529386666696,62,0,0.54%,270.26139943342935
August,3,08:00:00,42,0,1.01%,253.08054346777047,67,1,1.01%,291.7285619881156,243,1,0.31%,284.0454494551568,111,0,0.31%,273.66431949335464
August,3,08:30:00,73,1,1.21%,284.38385605691985,102,1,1.21%,313.0817548806481,355,1,0.4%,301.9715007528021,162,1,0.58%,284.8415314940606
August,3,09:00:00,108,1,0.62%,285.43528518682615,164,1,0.62%,310.83675100516007,502,1,0.28%,309.3973848387578,239,1,0.41%,286.4763956943998
August,3,09:30:00,137,1,0.59%,295.7087311994213,208,1,0.59%,325.9975434705014,635,5,0.74%,317.8661179252432,293,2,0.79%,291.49614744099944
August,3,10:00:00,161,1,0.39%,295.3701647272783,256,1,0.39%,327.2070079955658,748,4,0.51%,322.9414458220245,348,3,0.75%,299.5006122291892
August,3,10:30:00,188,1,0.39%,294.13840097266484,287,1,0.39%,340.29146534929475,830,8,0.91%,332.84856832828706,387,6,1.65%,308.1969188182569
August,3,11:00:00,200,1,0.3%,299.6647640344832,318,1,0.3%,342.4544136710579,889,5,0.51%,338.7428819622341,421,3,0.75%,311.25329706440607
August,3,11:30:00,207,1,0.48%,303.4386248885807,348,2,0.48%,344.571381852566,927,7,0.75%,342.11661726217716,442,3,0.64%,312.74878651336473
August,3,12:00:00,213,1,0.7%,301.50091728430243,377,3,0.7%,345.06112388719663,939,7,0.69%,341.97935074490067,459,3,0.57%,312.27721043477345
August,3,12:30:00,218,2,0.94%,300.6242761687619,385,4,0.94%,350.34068917339266,943,10,1.09%,344.0712367997567,465,4,0.85%,312.44038319203275
August,3,13:00:00,217,2,0.75%,304.35926219585855,400,3,0.75%,344.33634833566424,933,5,0.55%,347.7506792149806,459,4,0.83%,315.1332703431032
August,3,13:30:00,218,1,0.43%,305.9652218590802,408,2,0.43%,344.31098118583645,924,9,0.95%,347.35761550738414,461,4,0.94%,316.39392240141586
August,3,14:00:00,221,1,0.39%,306.7591862879675,428,2,0.39%,346.68826939749704,935,6,0.67%,349.10300335132484,480,3,0.72%,315.4374622333176
August,3,14:30:00,226,2,0.8%,307.87472392125557,431,3,0.8%,351.5122206058907,938,9,0.93%,348.750494677908,482,6,1.24%,319.2065534160347
August,3,15:00:00,223,2,0.68%,305.4482279770423,429,3,0.68%,348.7357934218312,919,4,0.42%,349.8686558226232,476,3,0.69%,318.9110712464763
August,3,15:30:00,224,2,1.0%,305.55177648204256,428,4,1.0%,347.6049026664519,910,6,0.66%,351.98683785013327,472,5,1.03%,317.14592105880763
August,3,16:00:00,221,1,0.43%,313.93769725576175,426,2,0.43%,351.72787452218,898,3,0.39%,349.95601029067143,477,2,0.52%,320.80505860550363
August,3,16:30:00,213,0,0.19%,305.86197032644753,410,1,0.19%,351.51658851606845,863,2,0.29%,350.70914654872524,456,2,0.47%,320.46895010248903
August,3,17:00:00,189,1,0.72%,307.0809094417326,389,3,0.72%,352.07512433759865,812,4,0.52%,350.13047694995146,432,2,0.53%,322.635095038062
August,3,17:30:00,165,1,0.66%,304.784798713544,369,2,0.66%,353.3751978871585,757,4,0.52%,347.1226267649311,402,3,0.62%,318.7915729325772
August,3,18:00:00,145,1,0.39%,303.56558482929404,341,1,0.39%,351.2048111859567,693,4,0.61%,348.5289409289355,369,1,0.32%,319.0377712052298
August,3,18:30:00,123,1,0.53%,311.41138695408955,307,2,0.53%,347.01322150678413,618,3,0.52%,349.42155025415923,327,1,0.28%,320.28923547269295
August,3,19:00:00,83,0,0.3%,315.40073409961576,276,1,0.3%,344.283990288285,552,3,0.56%,347.0732590682977,301,2,0.52%,313.0137033102717
August,3,19:30:00,65,0,0.63%,301.94921172343027,251,2,0.63%,339.71252584964617,490,5,0.94%,345.94220947346247,274,2,0.85%,324.4086567642279
August,3,20:00:00,51,1,1.25%,301.4380105270094,218,3,1.25%,341.8213405063473,427,4,1.04%,345.8539249041361,240,3,1.11%,315.8658121241797
August,3,20:30:00,43,1,2.32%,292.79170937088605,189,4,2.32%,333.88955788295266,369,2,0.52%,340.53537157097503,210,1,0.55%,308.90907309468054
August,3,21:00:00,33,1,2.62%,295.0878925325343,156,4,2.62%,332.9368051513775,309,1,0.21%,339.55277597689735,171,3,1.65%,314.73330880482644
August,3,21:30:00,25,0,1.42%,301.4898589664773,131,2,1.42%,333.72315694462486,256,1,0.21%,337.3564720262691,148,1,0.64%,316.76330646696886
August,3,22:00:00,20,0,0.58%,303.7497357515254,105,1,0.58%,326.7474023996495,212,1,0.36%,333.29818642528585,121,1,0.54%,316.69902045039726
August,3,22:30:00,14,2,11.89%,295.73252908747605,83,10,11.89%,319.01441056349,168,0,0.25%,325.7058127586416,100,0,0.36%,312.5222541789311
August,3,23:00:00,12,1,5.97%,313.7061063166364,62,4,5.97%,309.932380282784,130,0,0.15%,322.6657274106383,78,0,0.2%,312.71448635101785
August,3,23:30:00,9,0,2.24%,280.3403822893569,48,1,2.24%,309.91636466638147,102,0,0.22%,320.7261596515856,62,0,0.34%,307.24514364322147
August,4,00:00:00,5,0,1.63%,392.900868395102,29,0,1.63%,338.66017049305026,63,0,0.43%,327.6745228567039,39,0,0.56%,310.9599264040352
August,4,00:30:00,4,0,2.15%,337.33810371143994,20,0,2.15%,326.0777837130789,47,0,0.24%,323.4107418809533,28,0,0.21%,323.045743213554
August,4,01:00:00,3,0,2.11%,370.304883977111,9,0,2.11%,384.01331099563794,34,0,0.64%,319.61944671889063,21,0,0.38%,337.9954471590358
August,4,01:30:00,2,0,2.54%,323.8946214512301,5,0,2.54%,349.8797574531781,26,0,0.74%,321.4869616075166,16,0,0.84%,330.1280166855843
August,4,02:00:00,2,0,0.8%,372.0024705269937,4,0,0.8%,362.30715231357124,18,0,1.81%,298.4505411504789,11,0,2.19%,331.86280248529226
August,4,02:30:00,2,0,0.38%,331.4058262815827,3,0,0.38%,395.016485041315,15,0,1.57%,316.45813379784676,9,0,1.23%,333.7676506664444
August,4,03:00:00,2,0,0.32%,344.43125354193035,3,0,0.32%,404.8806463779129,11,0,2.21%,324.72907538619495,3,0,3.17%,388.2856772646374
August,4,03:30:00,2,0,0.0%,384.95449203693,3,0,0.0%,347.0685834151391,11,0,0.23%,336.81644446152075,2,0,2.18%,283.703637196614
August,4,04:00:00,1,0,0.0%,274.9992908219442,2,0,0.0%,329.4884332214576,10,0,0.79%,339.489542433976,2,0,1.7%,432.7970200019456
August,4,04:30:00,2,0,0.0%,255.62078814677747,2,0,0.0%,309.98886366137265,10,0,0.76%,328.27347409144375,3,0,3.73%,352.0254066466658
August,4,05:00:00,2,0,0.0%,273.9467514615712,2,0,0.0%,376.1733012334247,12,0,0.55%,335.7398212145252,3,0,1.84%,292.2063334224854
August,4,05:30:00,2,0,0.74%,318.2406980703167,3,0,0.74%,351.47239670784177,15,0,0.93%,302.68014342399636,2,0,0.21%,320.72561930748935
August,4,06:00:00,2,0,2.6%,275.0820449170077,4,0,2.6%,341.7873497873916,24,0,0.26%,272.2149872799586,10,0,1.04%,241.21398374267386
August,4,06:30:00,4,1,16.31%,281.3924991814241,6,1,16.31%,396.57288880325945,41,0,1.16%,264.4107305174355,19,1,3.51%,263.904941832568
August,4,07:00:00,7,0,6.83%,277.2737070446932,18,1,6.83%,296.9722188400882,72,0,0.33%,265.9854191009717,33,0,0.6%,263.8645776228089
August,4,07:30:00,13,1,5.74%,326.2826787241163,29,2,5.74%,317.68903273594145,117,1,0.72%,263.5306667916221,55,0,0.75%,271.68311678806214
August,4,08:00:00,37,0,1.09%,268.1620237267836,57,1,1.09%,309.001779385799,213,1,0.28%,283.28806045745046,99,0,0.43%,274.72311788938663
August,4,08:30:00,64,1,1.31%,298.66186439453975,87,1,1.31%,329.74653340397884,311,1,0.36%,300.4554426324632,145,1,0.8%,285.53741093149176
August,4,09:00:00,95,1,0.66%,298.9098216030528,140,1,0.66%,326.4063395546563,440,1,0.25%,306.90589498932,214,1,0.57%,286.5916047980697
August,4,09:30:00,121,1,0.64%,308.580663674603,178,1,0.64%,340.83700537077453,557,4,0.67%,314.5075776499398,263,3,1.09%,291.2484375860685
August,4,10:00:00,141,1,0.42%,307.4386252810667,218,1,0.42%,341.0729676968748,656,3,0.46%,318.82423642408855,312,3,1.04%,298.81739962393726
August,4,10:30:00,165,1,0.42%,305.60425758540833,244,1,0.42%,353.5489861762513,728,6,0.82%,328.1894524141851,347,8,2.27%,307.2233710461243
August,4,11:00:00,175,1,0.32%,310.72888468653014,271,1,0.32%,355.22518339853235,779,4,0.46%,333.65024083519927,377,4,1.05%,309.98941412539295
August,4,11:30:00,182,1,0.52%,314.5027455406276,296,2,0.52%,356.7337127056879,813,5,0.67%,336.8072135286759,396,4,0.89%,311.33973599091127
August,4,12:00:00,187,1,0.76%,312.36416995600104,321,2,0.76%,356.7367036408364,823,5,0.62%,336.5615657081662,412,3,0.78%,310.7955761205998
August,4,12:30:00,191,2,1.02%,311.2866608601122,328,3,1.02%,361.89458115216195,827,8,0.98%,338.6534517630223,417,5,1.18%,310.88616508613893
August,4,13:00:00,191,2,0.8%,315.22251486755715,341,3,0.8%,355.6468647646925,818,4,0.49%,342.3870848298628,412,5,1.15%,313.6516360289296
August,4,13:30:00,191,1,0.46%,316.6276065504305,348,2,0.46%,355.4998098399942,810,7,0.85%,342.04821177388294,413,5,1.31%,314.8397042955221
August,4,14:00:00,194,1,0.42%,317.4215709793178,365,2,0.42%,357.5120347270433,819,5,0.6%,343.6852183145904,430,4,1.0%,313.7380765439835
August,4,14:30:00,198,2,0.87%,318.33624063225756,367,3,0.87%,362.2142981605664,822,7,0.84%,343.33270964117355,432,7,1.71%,317.5071677267006
August,4,15:00:00,195,1,0.74%,315.9097446880443,366,3,0.74%,359.55955875137744,806,3,0.37%,344.6134427407386,426,4,0.96%,317.2116855571422
